,index,caption
,,"A single, elongated, bright emission region occupies the central-right. It exhibits a bright centroid, extending into a slightly curved, lobe-like structure that gradually fades at both ends. No distinct jets, separate central source, or other emissions are observed."
0,0,"A bright, curved arc of flux is prominent in the center-right, gradually fading. Its morphology suggests a bent lobe, curving from top-center to bottom-right. No distinct originating source or jets are apparent for this arc. A fainter, unresolved point source is also present in the left-center, unassociated with the main arc."
1,1,"A bright flux centroid is slightly below-center. A jet originates from its upper-right, extending upwards and right. A diffuse lobe-like structure extends below-left. A separate, fainter, diffuse flux centroid is in the upper-right quadrant, unassociated with the main emission."
2,2,"A bright, elongated flux centroid dominates the image center. Diffuse, extended lobes originate from this central source, extending towards the upper-left and lower-right, fading into the background. Several very faint, point-like sources are scattered throughout the field, unassociated with the central structure."
3,3,"Two bright, compact flux centroids are centered, with one slightly left and the other slightly right. A faint, diffuse emission appears to bridge these two centroids. No distinct lobes or other sources are evident in the field."
4,4,"A very bright, compact flux centroid is located in the top-left. A fainter, elongated source is near the image center-right. No discernible lobes or jets are associated with this central source. Multiple faint, compact sources are scattered across the field, unrelated to the central elongated object."
5,5,"A bright, elongated flux centroid is located slightly above the image center, featuring a brighter core. No distinct lobes or jets are observed originating from this central object. Several very faint, point-like sources are scattered throughout the field, unassociated with the main emission."
6,6,"A bright, compact flux centroid dominates the image center. Two extended, lumpy lobes originate from this central region; one extends diagonally to the top-left, the other to the bottom-right. Several faint, small, isolated flux spots are scattered throughout the field, unassociated with the central source."
7,7,"A bright, elongated flux centroid appears centered in the image. It displays a double-peaked structure, horizontally extended, suggesting a compact, possibly jet-like morphology. No distinct lobes or large-scale jets are clearly resolved, nor are other sources present."
8,8,"A compact, resolved, double-peaked flux centroid is located in the center-left. No distinct lobes or jets are observed originating from it. Very faint, patchy diffuse emission is present at the bottom-right, appearing unassociated with the central source."
9,9,"A bright, compact central source emits two opposing, collimated structures. These jets extend horizontally, broadening into diffuse, extended lobes terminating on the far left and right. No other distinct, unassociated sources are present."
10,10,"A bright central flux centroid is slightly left of center, with an extended lobe to its top-right. A diffuse, elongated structure extends from the centroid towards the bottom-left. A separate diffuse source is in the far bottom-left. A faint point source is near the top-center."
11,11,"A bright, elongated flux centroid is centered in the image. Faint, linear structures extend horizontally left and right from this central centroid, fading outwards. These resemble jets or lobes. No other distinct sources are observed."
12,12,"A bright flux centroid is slightly below center, emitting two prominent lobes. One extends top-right, ending in two brighter areas. The other extends bottom-left, ending in a diffuse, brighter region. No clear jets are visible. A distinct, unassociated bright point source is located at the bottom-left."
1,13,"A single bright flux centroid is centrally located. Faint, diffuse, elongated structures resembling opposing lobes or jets originate from this central point, extending diagonally outward and fading into the background. No other distinct sources are present."
2,14,"A bright, elongated, diffuse centroid is in the lower-center, oriented vertically. No distinct lobes or jets emanate from it. A separate, bright, point-like source is visible in the upper-left, unassociated with the main central emission."
3,15,"A diffuse, elongated central source contains two brighter centroids, one central-left and one central-right. This structure forms two lobes extending horizontally from a faint central region. A distinct, compact, bright point source is present at the very bottom, unassociated with the central emission."
4,16,Two bright flux centroids are observed. The top-left centroid features a curved lobe/jet extending towards the center-right. The bottom-center centroid shows a linear lobe/jet extending towards the bottom-right. No single central galaxy or additional unassociated sources are distinctly visible.
5,17,"A bright, elongated flux centroid is slightly right of center. A fainter, elongated source is in the top-left. A faint, compact source resides in the bottom-left. No distinct large-scale lobes or jets are evident. The top-left and bottom-left sources appear unassociated with the central emission."
6,18,"Two bright flux centroids dominate the center-right, displaying a slightly elongated, diffuse morphology, particularly extending rightward from the easternmost centroid. A separate, faint, diffuse flux centroid is visible at the bottom-center, unassociated with the primary emission."
7,19,"A bright, point-like flux centroid is on the far left. To its right, a complex source features a bright core with an elongated lobe extending rightwards. A fainter, diffuse extension from the core also reaches left. The left source is unassociated with the complex structure."
8,20,"A compact, very bright flux centroid is centrally located. Diffuse, lobe-like emission extends horizontally from this core: one lobe to the upper-left, and another to the lower-right. Both originate from the central bright emission and fade outwards. No other distinct sources are visible."
9,21,"Two bright flux centroids are slightly left and right of center. Each centroid is part of an elongated lobe, forming a V-shape, originating from a faint central structure and extending outward. Several faint, point-like sources are scattered, unassociated with the main emission."
10,22,"A bright, complex flux region is slightly left of the image center. A curved, elongated feature extends from this central region towards the upper right. To the right, a fainter, diffuse lobe extends from the central emission. No other distinct sources are present."
11,23,"A single bright flux centroid is centrally located, exhibiting slight elongation towards the top-right. No distinct lobes or jets are observed originating from this centroid. No other sources are present in the field of view."
12,24,"A diffuse flux centroid is located near the image center. A very bright, point-like source appears in the bottom-left quadrant. No clear lobes or jets are visible originating from either source. The point-like source is distinct and not associated with the central diffuse structure."
13,25,"A prominent flux centroid is observed bottom-center, with a diffuse lobe extending towards the bottom-right. Fainter, diffuse sources are also present in the top-left and top-right. These upper sources are distinct and not physically associated with the bottom-center centroid or its lobe. No distinct jets are evident."
14,26,"A bright, complex flux centroid occupies the top-center. A curved, knotty filament extends from it, sweeping down and right to a diffuse lobe in the bottom-right. Faint, unassociated point sources are present in the upper-left and bottom-left."
15,27,"A very bright, compact flux centroid is slightly left of center. From this source, a diffuse, bent lobe extends towards the upper-left. To the right, a more elongated, diffuse lobe stretches vertically. Both lobes originate from the central centroid and fade outwards. No other distinct sources are present."
16,28,"A bright, elongated central source contains two flux centroids, one left and one right of center. Faint, linear extensions, resembling jets or incipient lobes, originate from the central region, extending horizontally to the left and right, fading into the background. No other distinct sources are visible."
17,29,"A bright, compact central source emits two elongated structures with embedded centroids, extending horizontally left and right, terminating in diffuse lobes. Several faint, discrete point sources are visible in the upper and lower left, unassociated with the central emission."
18,30,"A bright flux centroid is slightly left of center. A diffuse, fainter lobe extends rightward and upward from its vicinity. No distinct jets are apparent. All significant emission is spatially connected, with no unassociated sources present."
19,31,"A central, diffuse flux region is present with a bright centroid slightly above the image center. Two curved, extended structures resembling jets or lobes originate from this core: one extending upwards-left, the other downwards-right. A secondary compact centroid is visible below the central core. No unassociated sources are observed."
20,32,"A bright flux centroid is located slightly below image center. An elongated, diffuse lobe emanates from this centroid, extending diagonally upwards-right before gradually fading. No other distinct sources are present in the image."
21,33,"A prominent, bright flux centroid resides slightly left of center. A diffuse, elongated structure originates from this centroid, extending rightward before fading. Two fainter, distinct diffuse sources are observed: one to the upper-right and another to the lower-right, separate from the primary emission."
22,34,"A bright, elongated flux centroid is centrally located. Faint, diffuse, and irregular patches of flux extend generally to the top-left and bottom-center, appearing to originate from the vicinity of the central source. No distinct jets or well-defined lobes are evident. All visible emission appears broadly associated with the central source."
23,35,"A bright point source is at the image center. Two extended, diffuse lobes of flux originate from it. The left lobe is irregular, extending towards the left. The right lobe is clumpy, extending towards the right. Faint background point sources are also present."
24,36,"A bright, elongated flux centroid is located slightly left of center. A clumpy, diffuse jet originates from its upper-left, extending towards the top-right. A fainter, short extension projects from its lower-left. Multiple faint, point-like sources are scattered throughout the field, unassociated with the central structure."
25,37,"A bright, curved, elongated structure dominates the image center, extending top-left to bottom-right with a brighter central region. This single extended feature appears as a primary flux centroid, without distinct bi-directional lobes or jets. A fainter, diffuse circular source is located below and right of center. Scattered faint point sources are also present."
26,38,"A bright, vertically elongated central source dominates, featuring a compact core with diffuse lobes extending above and below. The upper lobe is brighter. Several faint, unassociated point sources are scattered throughout the image, distinct from the central structure."
27,39,Multiple bright flux centroids are concentrated centrally along a vertical axis. These centroids form an elongated structure with diffuse emission extending slightly above and below the central region. No distinct bi-polar lobes or collimated jets are observed. No other significant sources appear in the image.
28,40,"A bright, compact central flux centroid is present. Two diffuse lobes originate from this central source: one extends to the top-left, and another extends symmetrically to the bottom-right. No clear jets are visible, and no other significant sources are observed in the field."
29,41,"A bright central flux centroid is present. To its left, a diffuse, extended lobe originates and fades outwards. To its right, a more compact, slightly fainter centroid is observed. Both structures appear to extend horizontally from the central emission. No distinct unassociated sources are visible."
30,42,"A bright, compact flux centroid is slightly below image center. Faint, diffuse emission extends horizontally from it, primarily to the right, and also slightly to the left, fading into the background. No other distinct sources are present."
31,43,"A bright, diffuse flux centroid with a core is slightly above image center. Directly below it, an elongated, distinct bright centroid is present. No clear jets or lobes originate from the upper centroid. The lower elongated source appears unassociated with the central, diffuse emission."
32,44,"A bright, complex flux centroid occupies the upper-center, exhibiting a bent morphology. A distinct, elongated bright centroid is in the lower-left, extending upwards, appearing unassociated with the central complex. No clear, originating lobes or jets connect these main structures from their apparent origins."
